,put_money_in_bank,took_money_out_of_bank,got_a_loan,received_a_line_of_credit,took_out_a_mortgage,paid_a_loan,bought_a_machine,bought_a_vehicle,bought_real_estate,bought_furniture,bought_a_copier,bought_a_computer,bought_tools_or_equipment,paid_a_personal_expense,sold_asset,earned_interest,received_dividend,received_credit_card_rewards,got_refund_of_expense,got_other_income,got_tax_refund,got_partnership_income,sale_of_product_income,sale_of_service_income,inventory,asset,loans_to_others,payments_to_deposit,uncategorized_asset,buildings,land,office_equipment,computers_tablets,copiers,custom_software_app,furniture,phones,photo_video_equipment,tools_machinery_equipment,vehicles,customer_prepayments,sales_tax_payments,short_term_business_loans_payments_made,long_term_business_loans_payments_made,mortgages_payments_made,federal_estimated_taxes_paid,personal_expenses_federal_taxes,owner_retirement_plans,personal_expenses,state_taxes,personal_healthcare,personal_healthcare_health_insurance_premiums,personal_healthcare_hsa_contributions,state_estimated_taxes,refunds_to_customers,cost_of_goods_sold,equipment_rental,subcontractor_expenses,supplies_and_materials,advertising_and_marketing,listing_fees,social_media_advertising_and_marketing,website_ads,building_and_property_rent,business_licenses,commissions_and_fees,contract_labor,contributions_to_charities,employee_benefits,employee_retirement_plans,employee_benefits_group_term_life_insurance,employee_benefits_health_and_accident_plans,workers_compensation_insurance,entertainment_with_clients,general_business_expenses,bad_debt_general,bank_fees_and_service_charges,continuing_education,memberships_and_subscriptions,uniforms,liability_insurance,property_insurance,rental_insurance,business_loan_interest,credit_card_interest,mortgage_interest,accounting_fees,legal_fees,meals_with_clients,travel_meals,merchant_account_fees,office_supplies,printing_and_photocopying,shipping_and_postage,small_tools_and_equipment,software_and_apps,wages,repairs_and_maintenance,payroll_taxes,property_taxes,airfare,hotels,taxis_or_shared_rides,vehicle_rental,uncategorized_expense,disposal_waste_fees_utilities,electricity_utilities,heating_cooling_utilities,internet_tv_services,phone_service,utilities_water_sewer,depreciation_home_office,home_office_homeowner_rental_insurance,home_office_home_utilities,home_office_mortgage_interest,home_office_property_taxes,home_office_rent,home_office_repairs_maintenance,vehicle_expenses,parking_tolls,notes,neither_expense_nor_income,income,expense
I deposited funds into my savings account.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"funds, deposited funds",0,0,1
We sold a piece of machinery last week.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,machinery,0,0,1
A loan was repaid on time.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
"Today, I withdrew cash from the bank.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,withdrew cash,1,0,0
We acquired a new computer for the office.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
There was a dividend payment received this quarter.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dividend payment, pay",0,1,1
A mortgage payment was made for the new house.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pay,0,0,1
Interest income was generated from the savings account.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"interest income, income",0,1,1
We made a purchase of office supplies.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"supplies, office supplies",0,0,1
A new copier was bought for the office.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
