Date,Amount,Involvement,Payment Method,Transaction Type,Category
03-23-2024,$1093 paid for subcontractor services,Bright Solutions,Bank Transfer,Paid for subcontractor services,Subcontractor expenses
10-05-2024,$3664 paid health insurance premiums,HealthCare Inc.,Credit Card,Paid health insurance premiums,Employee benefits:Health insurance
05-04-2024,$2403 paid for advertising campaign,SocialBoost,Direct Deposit,Paid for advertising campaign,Social media advertising & marketing
02-27-2024,$2267 contributed to employee retirement plan,RetireWell,Venmo,Contributed to employee retirement plan,Employee retirement plans
12-01-2023,$3443 purchased office supplies,Staples,Credit Card,Purchased office supplies,Office supplies
11-07-2024,$4386 paid for office renovation,CoolFix HVAC,Venmo,Paid for office renovation,Repairs & maintenance
06-13-2024,$3164 spent on travel meals,Gourmet Caterers,Bank Transfer,Spent on travel meals,Travel meals
10-13-2024,$4802 paid building rent,ABC Realty,Cash,Paid building rent,Building & property rent
01-21-2024,$2753 purchased software subscription,SoftUpdate Co.,Bank Transfer,Purchased software subscription,Software & apps
10-10-2024,$4543 paid for shipping fees,FedEx,Direct Deposit,Paid for shipping fees,Shipping & postage
01-12-2024,$4156 paid employee appreciation expenses,HappyDays Resort,Cash,Paid employee appreciation expenses,Employee benefits
09-04-2024,$563 paid for subcontractor services,ABC Contracting,Venmo,Paid for subcontractor services,Subcontractor expenses
06-13-2024,$4007 paid health insurance premiums,HealthCare Inc.,Cash,Paid health insurance premiums,Employee benefits:Health insurance
02-08-2024,$1976 paid for advertising campaign,SocialBoost,Cash,Paid for advertising campaign,Social media advertising & marketing
10-19-2024,$4502 contributed to employee retirement plan,FutureSecure Fund,Direct Deposit,Contributed to employee retirement plan,Employee retirement plans
03-05-2024,$4359 purchased office supplies,FurnishCo,Cash,Purchased office supplies,Office supplies
04-03-2024,$4702 paid for office renovation,Renovate Inc.,Venmo,Paid for office renovation,Repairs & maintenance
07-11-2024,$2529 spent on travel meals,Fine Dine Restaurant,Direct Deposit,Spent on travel meals,Travel meals
11-17-2024,$4487 paid building rent,ABC Realty,Venmo,Paid building rent,Building & property rent
12-08-2023,$2721 purchased software subscription,Microsoft,Venmo,Purchased software subscription,Software & apps
03-17-2024,$822 paid for shipping fees,AquaPure,Direct Deposit,Paid for shipping fees,Shipping & postage
11-01-2024,$1799 paid employee appreciation expenses,Thankful Gifts,Credit Card,Paid employee appreciation expenses,Employee benefits
03-19-2024,$4857 paid for subcontractor services,ABC Contracting,Credit Card,Paid for subcontractor services,Subcontractor expenses
02-02-2024,$2918 paid health insurance premiums,WellCare Inc.,Direct Deposit,Paid health insurance premiums,Employee benefits:Health insurance
12-13-2023,$4021 paid for advertising campaign,Meta Promotions,Direct Deposit,Paid for advertising campaign,Social media advertising & marketing
12-03-2023,$3712 contributed to employee retirement plan,PensionPlus,Direct Deposit,Contributed to employee retirement plan,Employee retirement plans
01-02-2024,$2879 purchased office supplies,Office Depot,Credit Card,Purchased office supplies,Office supplies
03-28-2024,$4026 paid for office renovation,CoolFix HVAC,Bank Transfer,Paid for office renovation,Repairs & maintenance
05-25-2024,$2729 spent on travel meals,Local Eatery,Credit Card,Spent on travel meals,Travel meals
07-06-2024,$2200 paid building rent,RentMaster,Cash,Paid building rent,Building & property rent
05-21-2024,$3125 purchased software subscription,CloudKeep,Direct Deposit,Purchased software subscription,Software & apps
12-30-2023,$4852 paid for shipping fees,ShipIt Logistics,Cash,Paid for shipping fees,Shipping & postage
04-24-2024,$1807 paid employee appreciation expenses,Thankful Gifts,Bank Transfer,Paid employee appreciation expenses,Employee benefits
03-15-2024,$1477 paid for subcontractor services,ABC Contracting,Cash,Paid for subcontractor services,Subcontractor expenses
10-09-2024,$2944 paid health insurance premiums,HealthCare Inc.,Credit Card,Paid health insurance premiums,Employee benefits:Health insurance
04-20-2024,$1549 paid for advertising campaign,SocialBoost,Bank Transfer,Paid for advertising campaign,Social media advertising & marketing
12-18-2023,$3957 contributed to employee retirement plan,PensionPlus,Direct Deposit,Contributed to employee retirement plan,Employee retirement plans
01-02-2024,$1329 purchased office supplies,FurnishCo,Bank Transfer,Purchased office supplies,Office supplies
01-09-2024,$4175 paid for office renovation,Renovate Inc.,Credit Card,Paid for office renovation,Repairs & maintenance
03-13-2024,$1163 spent on travel meals,Fine Dine Restaurant,Bank Transfer,Spent on travel meals,Travel meals
10-25-2024,$593 paid building rent,ExpandCo,Direct Deposit,Paid building rent,Building & property rent
03-03-2024,$3808 purchased software subscription,CloudKeep,Cash,Purchased software subscription,Software & apps
11-02-2024,$2098 paid for shipping fees,ShipIt Logistics,Venmo,Paid for shipping fees,Shipping & postage
03-28-2024,$4909 paid employee appreciation expenses,Thankful Gifts,Credit Card,Paid employee appreciation expenses,Employee benefits
08-01-2024,$3766 paid for subcontractor services,ABC Contracting,Bank Transfer,Paid for subcontractor services,Subcontractor expenses
08-24-2024,$2314 paid health insurance premiums,HealthCare Inc.,Direct Deposit,Paid health insurance premiums,Employee benefits:Health insurance
10-23-2024,$3035 paid for advertising campaign,Meta Promotions,Venmo,Paid for advertising campaign,Social media advertising & marketing
05-12-2024,$1986 contributed to employee retirement plan,PensionPlus,Credit Card,Contributed to employee retirement plan,Employee retirement plans
07-23-2024,$2395 purchased office supplies,Office Depot,Credit Card,Purchased office supplies,Office supplies
02-05-2024,$3220 paid for office renovation,Renovate Inc.,Credit Card,Paid for office renovation,Repairs & maintenance
01-07-2024,$1266 spent on travel meals,Local Eatery,Credit Card,Spent on travel meals,Travel meals
06-07-2024,$4118 paid building rent,ExpandCo,Direct Deposit,Paid building rent,Building & property rent
07-05-2024,$3214 purchased software subscription,SoftUpdate Co.,Direct Deposit,Purchased software subscription,Software & apps
05-30-2024,$2447 paid for shipping fees,ShipIt Logistics,Credit Card,Paid for shipping fees,Shipping & postage
03-19-2024,$3762 paid employee appreciation expenses,HappyDays Resort,Venmo,Paid employee appreciation expenses,Employee benefits
11-28-2023,$3475 paid for subcontractor services,Global Contractors,Venmo,Paid for subcontractor services,Subcontractor expenses
01-28-2024,$521 paid health insurance premiums,HealthCare Inc.,Venmo,Paid health insurance premiums,Employee benefits:Health insurance
05-27-2024,$788 paid for advertising campaign,Google Ads,Direct Deposit,Paid for advertising campaign,Social media advertising & marketing
12-17-2023,$4257 contributed to employee retirement plan,FutureSecure Fund,Bank Transfer,Contributed to employee retirement plan,Employee retirement plans
08-27-2024,$3383 purchased office supplies,Staples,Venmo,Purchased office supplies,Office supplies
02-03-2024,$924 paid for office renovation,CoolFix HVAC,Direct Deposit,Paid for office renovation,Repairs & maintenance
02-24-2024,$4376 spent on travel meals,Fine Dine Restaurant,Cash,Spent on travel meals,Travel meals
11-28-2023,$3975 paid building rent,ABC Realty,Direct Deposit,Paid building rent,Building & property rent
01-29-2024,$3768 purchased software subscription,Microsoft,Direct Deposit,Purchased software subscription,Software & apps
06-18-2024,$2758 paid for shipping fees,FedEx,Cash,Paid for shipping fees,Shipping & postage
05-15-2024,$932 paid employee appreciation expenses,EmployeePay Inc.,Venmo,Paid employee appreciation expenses,Employee benefits
02-28-2024,$3796 paid for subcontractor services,ABC Contracting,Credit Card,Paid for subcontractor services,Subcontractor expenses
11-13-2024,$1825 paid health insurance premiums,HealthCare Inc.,Direct Deposit,Paid health insurance premiums,Employee benefits:Health insurance
05-07-2024,$4800 paid for advertising campaign,SocialBoost,Credit Card,Paid for advertising campaign,Social media advertising & marketing
10-16-2024,$3224 contributed to employee retirement plan,RetireWell,Bank Transfer,Contributed to employee retirement plan,Employee retirement plans
09-11-2024,$3727 purchased office supplies,Office Depot,Credit Card,Purchased office supplies,Office supplies
